Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid,E6-Tiller PM10 µg/m³ Day,Dekning,E6-Tiller PM2.5 µg/m³ Day,Dekning,Elgeseter PM10 µg/m³ Day,Dekning,Elgeseter PM2.5 µg/m³ Day,Dekning,Elgeseter mobil PM10 µg/m³ Day,Dekning,Elgeseter mobil PM2.5 µg/m³ Day,Dekning,Omkjøringsvegen PM10 µg/m³ Day,Dekning,Omkjøringsvegen PM2.5 µg/m³ Day,Dekning,Torvet PM10 µg/m³ Day,Dekning,Torvet PM2.5 µg/m³ Day,Dekning,Åsveien skole PM10 µg/m³ Day,Dekning,Åsveien skole PM2.5 µg/m³ Day,Dekning,Bakke kirke PM10 µg/m³ Day,Dekning,Bakke kirke PM2.5 µg/m³ Day,Dekning
31.01.2015 00:00,11.039970316,100,7.3056500632,100,8.8635605048,88,4.6418242667,88,13.1083333333,100,8.7291666667,100,,,,,8.7583333333,100,6.2208333333,100,,,,,12.8636485653,100,7.0647414215,100
01.02.2015 00:00,14.4683034764,100,12.6363869701,100,9.8130554833,100,8.3364642667,100,11.8754166667,100,9.5333333333,100,,,,,10.1875,100,9.5583333333,100,,,,,11.8019178861,100,9.8021344535,100
02.02.2015 00:00,13.2943992368,100,11.4257746167,100,9.3247351313,100,7.9838526285,100,11.99,100,9.5583333333,100,,,,,8.3291666667,100,8.175,100,,,,,9.7507059736,100,8.0935079264,100
03.02.2015 00:00,14.8147586014,100,12.2961176278,100,7.8770915764,100,6.1840982201,100,14.2129166667,100,10.9125,100,,,,,8.5083333333,100,8.025,100,,,,,10.4173656785,100,7.9687758326,100
04.02.2015 00:00,19.7857501486,100,15.9072444111,100,11.2093983333,100,8.5021749104,100,15.4,100,11.2041666667,100,,,,,11.5208333333,100,10.8666666667,100,,,,,12.1687675561,92,9.1742062152,92
05.02.2015 00:00,10.6019566848,92,7.9854396924,92,6.8672234417,100,4.9468123445,100,9.0841666667,100,5.9041666667,100,,,,,6.5041666667,100,5.9375,100,,,,,9.3418933202,100,6.7231311965,100
06.02.2015 00:00,6.7529893833,100,3.6559044653,100,5.1190591958,100,3.0352492465,100,8.81375,100,5.4375,100,,,,,3.7083333333,100,3.2541666667,100,,,,,5.5999035576,100,3.4255123917,100
07.02.2015 00:00,9.8535052667,100,4.6819691479,100,12.1373849816,79,4.2375402544,79,15.0058333333,100,6.1458333333,100,,,,,11.2833333333,100,5.5458333333,100,,,,,11.5780532261,96,3.9332377203,96
08.02.2015 00:00,6.646848984,96,3.7307434935,96,5.3655544717,96,2.004846437,96,8.8091666667,100,4.725,100,,,,,4.0875,100,3.1125,100,,,,,6.7516672292,100,3.0900088417,100
09.02.2015 00:00,4.5816259333,100,2.8849820854,100,2.7087344175,83,1.4162246525,83,5.8483333333,100,4.2291666667,100,,,,,1.0916666667,100,1.0708333333,100,,,,,3.080858225,100,2.1005746958,100
10.02.2015 00:00,7.5432782076,100,4.145138659,100,4.5830367265,92,2.2525104697,92,8.8779166667,100,5.4791666667,100,,,,,4.2041666667,100,3.3875,100,,,,,7.2655643819,100,3.7938440431,100
11.02.2015 00:00,25.1679384028,100,5.2089492646,100,11.8941283899,96,2.0478978399,96,23.4116666667,100,5.3333333333,100,,,,,14.0583333333,100,3.7,100,,,,,28.2496236055,100,3.4512985028,100
12.02.2015 00:00,11.3089725264,100,4.4519295528,100,8.0354127311,92,3.99664795,92,14.5383333333,100,7.9083333333,100,,,,,7.2458333333,100,5.45,100,,,,,11.0753449333,100,4.3874485528,100
13.02.2015 00:00,16.0264589445,100,8.9748520993,100,14.933536557,100,5.2154660875,100,,42,,38,,,,,9.6416666667,100,6.075,100,,,,,17.3149525583,100,6.5803638125,100
14.02.2015 00:00,13.2101014375,100,10.6057475507,100,14.9152036195,100,12.3913793076,100,,,,,,,,,13.4458333333,100,12.9166666667,100,,,,,17.7758962986,100,15.4540823528,100
15.02.2015 00:00,7.2493781072,96,1.4747098,96,8.1885332773,92,4.4675775462,92,,,,,,,,,5.7333333333,100,3.075,100,,,,,9.5064533848,92,5.1637051015,92
16.02.2015 00:00,38.0666490304,96,4.2946693428,96,13.9087073875,100,2.0748024389,100,,,,,,,,,20.6916666667,100,4.1375,100,,,,,10.1475434377,96,2.6061567319,96
17.02.2015 00:00,31.7102314428,96,4.1506163087,96,11.6445008538,92,1.6463395591,92,,,,,,,,,14.1291666667,100,3.45,100,,,,,12.3281578826,100,2.9277862812,100
18.02.2015 00:00,12.0185072462,92,5.5041734485,92,12.0868734333,100,6.7994717875,100,,,,,,,,,10.3833333333,100,7.7083333333,100,,,,,13.2053219729,100,8.0952548806,100
19.02.2015 00:00,10.1365333875,100,3.6772613111,100,7.076512619,88,4.3479324778,88,,,,,,,,,3.5291666667,100,2.7,100,,,,,8.1775464881,100,5.1258600399,100
20.02.2015 00:00,27.5171696029,96,7.8179265812,96,8.9258509102,96,5.0211071,96,,,,,,,,,6.525,100,4.3125,100,,,,,8.4636577725,96,5.410457713,96
21.02.2015 00:00,19.9388251056,100,4.1596022847,100,6.4178324406,96,1.9444993348,96,,,,,,,,,6.7,100,2.9875,100,,,,,9.6638102273,92,3.2173698955,92
22.02.2015 00:00,6.2650873958,100,4.4107230778,100,6.5436782143,88,4.9396125571,88,,,,,,,,,4.7583333333,100,4.4375,100,,,,,6.6633345236,100,4.9303483236,100
23.02.2015 00:00,38.1990269797,96,10.7928646942,96,16.8241115825,88,2.2336786587,88,,,,,,,,,12.7791666667,100,2.05,100,,,,,14.4576089278,100,1.5145014611,100
24.02.2015 00:00,28.953980875,100,6.1801577042,100,22.1763364944,96,1.4917713374,96,,,,,,,,,20.8958333333,100,3.525,100,,,,,26.6854839083,100,2.1325234722,100
25.02.2015 00:00,,71,,71,20.2278008587,96,4.6502636022,96,,,,,,,,,13.7708333333,100,3.7791666667,100,,,,,29.2666329472,100,5.5828483097,100
26.02.2015 00:00,8.7353514232,96,3.0190572942,96,4.0551076325,83,1.805068375,83,,,,,,,,,3.15,100,1.4625,100,,,,,6.3214072725,96,1.9059051928,96
27.02.2015 00:00,24.1800783424,100,3.9353246201,100,12.5687422058,83,2.2410494383,83,,,,,,,,,12.4916666667,100,2.1875,100,,,,,,38,,38
28.02.2015 00:00,32.0749789585,96,3.6924823535,96,9.5293067144,92,1.4307259795,92,,,,,,,,,10.5625,100,2.325,100,,,,,15.3796135125,100,2.208519234,100
01.03.2015 00:00,15.3346365875,100,3.3610759958,100,,67,,67,,,,,,,,,11.3166666667,100,1.525,100,,,,,18.1676696167,79,1.0947325219,79
02.03.2015 00:00,20.0687121181,100,5.5303809042,100,26.2374443029,96,4.8103160116,96,,,,,,,,,16.1916666667,100,3.6916666667,100,,,,,30.2256776236,100,4.3394326889,100
03.03.2015 00:00,55.7510399754,96,9.0435999645,96,28.1156189855,96,6.5090286522,96,,,,,,,,,31.4333333333,100,8.1083333333,100,,,,,38.000044858,96,8.7220601536,96
04.03.2015 00:00,21.0674826271,100,4.4063576049,100,15.5855550236,100,2.1832071764,100,,,,,,,,,16.3041666667,100,4.0666666667,100,,,,,18.3256745549,100,4.2397836972,100
05.03.2015 00:00,21.5485719229,100,5.2219278153,100,9.9109182636,92,1.5938677,92,,,,,,,,,9.6458333333,100,2.6416666667,100,,,,,11.294798716,100,3.4595819569,100
06.03.2015 00:00,10.651759341,100,4.1439775771,100,5.4623922087,96,1.5202132232,96,,,,,,,,,6.5291666667,100,2.8083333333,100,,,,,16.3016630937,100,2.5608386368,100
07.03.2015 00:00,10.9814348007,100,4.5595847799,100,8.9081815087,96,2.9181499971,96,,,,,,,,,9.8625,100,5.1333333333,100,,,,,19.1792396565,96,3.7783454384,96
08.03.2015 00:00,6.2140152896,100,3.7138806354,100,3.1130863454,92,1.4649757742,92,,,,,,,,,3.4291666667,100,3,100,,,,,4.7750048778,88,2.6520454801,88
09.03.2015 00:00,9.2269741458,100,3.3772895014,100,9.3076652368,79,2.8576298579,79,,,,,,,,,8.1166666667,100,3.1833333333,100,,,,,14.4945410318,92,3.3662471583,92
10.03.2015 00:00,9.4148415528,100,4.2751848188,100,6.4893612464,96,0.5415060638,96,,,,,,,,,6.6166666667,100,1.8875,100,,,,,15.7786452145,96,1.4232853761,96
11.03.2015 00:00,18.8999948278,100,3.9409341333,100,23.1930648246,96,2.5229949406,96,,,,,,,,,19.9125,100,5.2625,100,,,,,36.7089868326,100,4.7924554465,100
12.03.2015 00:00,39.1547575389,100,5.9945913312,100,23.2747237532,88,2.8628904143,88,,,,,,,,,20.4666666667,100,5.4458333333,100,,,,,21.731643332,100,3.6253520882,100
13.03.2015 00:00,57.7103940326,100,10.1080129833,100,29.1912844312,96,3.9108796855,96,,,,,,,,,30.2666666667,100,6.7666666667,100,,,,,34.6110529932,92,7.2162966341,92
14.03.2015 00:00,33.0953393667,100,8.5330399257,100,25.4027612458,100,4.7440453035,100,,,,,,,,,25.55,100,7.6333333333,100,,,,,24.1714239097,100,7.3875796993,100
15.03.2015 00:00,29.1583695917,100,8.61301335,100,34.4545370229,100,6.4851031826,100,,,,,,,,,31.6625,100,8.4375,100,,,,,35.254096775,100,8.7364484542,100
16.03.2015 00:00,85.9743087,100,15.5314833917,100,38.4961446514,100,9.4422970903,100,,,,,,,,,26.9083333333,100,10.9083333333,100,,,,,30.5907661827,100,11.0854609264,100
17.03.2015 00:00,45.0507867542,100,16.9064814917,100,29.4407763111,100,11.5360467306,100,,,,,,,,,30.3458333333,100,15.225,100,,,,,31.8963449792,100,14.5199059944,100
18.03.2015 00:00,71.8788929083,100,22.9000829708,100,50.5665020556,100,17.5327826715,100,,,,,,,,,47.65,100,20.6416666667,100,,,,,53.4657509375,100,19.3198791458,100
19.03.2015 00:00,14.6913302625,100,8.4711761833,100,10.9566537674,96,5.6856670616,96,,,,,,,,,9.3666666667,100,7.25,100,,,,,11.1542387208,100,6.4989518618,100
20.03.2015 00:00,17.6819955208,100,7.3510670625,100,7.9005662742,92,2.0978940985,92,,,,,,,,,7.3708333333,100,4.5375,100,,,,,16.7193874674,100,4.9701037771,100
21.03.2015 00:00,21.6779704367,100,5.3567769926,100,17.2839263007,100,2.747870209,100,,,,,,,,,17.4291666667,100,5.2041666667,100,,,,,17.132787457,100,4.6463063354,100
22.03.2015 00:00,9.4095116159,96,4.6073156493,96,3.9050391542,100,1.387666766,100,,,,,,,,,4.1291666667,100,2.375,100,,,,,6.6383791715,100,3.5158637521,100
23.03.2015 00:00,19.4812890261,96,6.4876602819,96,9.8566181273,100,2.7276213549,100,,,,,,,,,4.4125,100,1.8375,100,,,,,12.2422843551,96,3.4406385196,96
24.03.2015 00:00,31.1874403111,100,6.6871892764,100,16.8818100116,96,4.0927897391,96,,,,,,,,,15.5833333333,100,6.3416666667,100,,,,,28.6112224063,100,6.3823255771,100
25.03.2015 00:00,25.3701706188,96,5.8957263623,96,28.7602902347,100,3.5810768528,100,,,,,,,,,19.6791666667,100,5.4666666667,100,,,,,24.5497264083,100,4.8033944729,100
26.03.2015 00:00,22.7198142636,92,4.2192289303,92,16.6566741884,96,2.0078560101,96,,,,,,,,,15.2125,100,3.8375,100,,,,,19.1458812896,100,4.1960025208,100
27.03.2015 00:00,17.7191344903,100,7.021333825,100,9.7853172875,100,3.1236175722,100,,,,,,,,,8.25,100,3.6125,100,,,,,11.3237602292,100,4.1916946958,100
28.03.2015 00:00,21.6935221028,100,6.6381882708,100,16.4142735587,88,2.1644892016,88,,,,,,,,,13.1041666667,100,3.0541666667,100,,,,,14.7732489146,100,3.4261804417,100
29.03.2015 00:00,12.5608050528,100,4.9868385708,100,7.4525518515,92,2.6890687712,92,,,,,,,,,4.8458333333,100,2.0083333333,100,,,,,6.6864964104,100,2.1600578125,100
30.03.2015 00:00,23.5161155778,100,7.9711097792,100,20.4572758292,100,3.5667499653,100,,,,,,,,,16.3,100,6.1541666667,100,,,,,17.7981268604,100,5.4957239688,100
31.03.2015 00:00,31.3666506347,100,8.1694340472,100,18.0504143188,100,3.0403876243,100,,,,,,,,,17.0375,100,5.1416666667,100,,,,,15.2447488125,100,4.6829208646,100
01.04.2015 00:00,15.6124105792,100,4.3537091875,100,10.1045983167,88,1.7380311762,88,,,,,,,,,8.9083333333,100,2.9041666667,100,,,,,9.1930614882,100,2.9792422382,100
02.04.2015 00:00,6.1959688167,100,3.5713702695,100,2.6689288683,83,0.7502084283,83,,,,,,,,,2.3916666667,100,1.7833333333,100,,,,,3.9848156139,100,1.6596642472,100
03.04.2015 00:00,5.1015025931,100,3.2360578889,100,2.6930183023,92,1.0839181727,92,,,,,,,,,2.625,100,2.2291666667,100,,,,,4.5897263611,100,2.2912027521,100
04.04.2015 00:00,9.1743459868,100,3.0040769535,100,7.2062364239,96,1.7209196348,96,,,,,,,,,7.2,100,3.7958333333,100,,,,,15.6633812111,100,4.6690732292,100
05.04.2015 00:00,8.126983091,100,4.0693790028,100,4.4049689696,96,1.4605392652,96,,,,,,,,,5.225,100,3.1791666667,100,,,,,10.5220754458,100,4.3392273167,100
06.04.2015 00:00,18.5119547239,96,5.9732322862,96,9.9201584739,96,2.5075478978,96,,,,,,,,,8.275,100,4.0791666667,100,,,,,22.4373779236,100,4.7781293056,100
07.04.2015 00:00,13.0379415076,100,6.5228867313,100,8.3248481935,96,3.3012192304,96,,,,,,,,,7.1333333333,100,5.4291666667,100,,,,,10.0076682889,100,4.8408830722,100
08.04.2015 00:00,37.9234491417,100,12.2704251979,100,36.2238925063,100,5.6774487521,100,,,,,,,,,26.5833333333,100,11.3625,100,,,,,37.2771662153,100,8.0911578306,100
09.04.2015 00:00,17.4480213604,100,6.9473916125,100,10.4201535708,100,2.3702032896,100,,,,,,,,,10.4791666667,100,5.2666666667,100,,,,,14.2035002736,100,4.3679450514,100
10.04.2015 00:00,15.5637282646,100,8.0864663771,100,13.0074312333,100,5.99627955,100,,,,,,,,,6.5666666667,100,5.35,100,,,,,14.3507001028,100,6.6521566583,100
11.04.2015 00:00,33.3219789563,100,14.9303033625,100,15.8357593958,100,8.4083945708,100,,,,,,,,,17.3125,100,11.425,100,,,,,20.5594081083,100,11.5206040361,100
