Navn;Stasjon;Tid(norsk normaltid);Pent vær (døgn);Overskya vær (døgn);Gjennomsnittlig skydekke (døgn)
Trondheim - Voll;SN68860;02.07.2015;0;0;3
Trondheim - Voll;SN68860;03.07.2015;0;0;5,7
Trondheim - Voll;SN68860;04.07.2015;0;0;3,3
Trondheim - Voll;SN68860;05.07.2015;0;0;4
Trondheim - Voll;SN68860;06.07.2015;0;1;7
Trondheim - Voll;SN68860;07.07.2015;0;1;7,3
Trondheim - Voll;SN68860;08.07.2015;0;1;7
Trondheim - Voll;SN68860;09.07.2015;0;1;7,3
Trondheim - Voll;SN68860;10.07.2015;0;1;8
Trondheim - Voll;SN68860;11.07.2015;0;0;4
Trondheim - Voll;SN68860;12.07.2015;1;0;1,3
Trondheim - Voll;SN68860;13.07.2015;0;0;5
Trondheim - Voll;SN68860;14.07.2015;0;1;8
Trondheim - Voll;SN68860;15.07.2015;0;1;8
Trondheim - Voll;SN68860;16.07.2015;0;1;8
Trondheim - Voll;SN68860;17.07.2015;0;0;4
Trondheim - Voll;SN68860;18.07.2015;0;0;6,3
Trondheim - Voll;SN68860;19.07.2015;0;1;7
Trondheim - Voll;SN68860;20.07.2015;0;0;6,3
Trondheim - Voll;SN68860;21.07.2015;0;0;5,7
Trondheim - Voll;SN68860;22.07.2015;0;1;8
Trondheim - Voll;SN68860;23.07.2015;0;1;8
Trondheim - Voll;SN68860;24.07.2015;0;0;5
Trondheim - Voll;SN68860;25.07.2015;1;0;1,7
Trondheim - Voll;SN68860;26.07.2015;0;1;8
Trondheim - Voll;SN68860;27.07.2015;0;0;4
Trondheim - Voll;SN68860;28.07.2015;1;0;3
Trondheim - Voll;SN68860;29.07.2015;0;0;6
Trondheim - Voll;SN68860;30.07.2015;0;1;8
Trondheim - Voll;SN68860;31.07.2015;0;1;7,7
Trondheim - Voll;SN68860;01.08.2015;1;0;1,7
Trondheim - Voll;SN68860;02.08.2015;0;0;4
Trondheim - Voll;SN68860;03.08.2015;0;0;4
Trondheim - Voll;SN68860;04.08.2015;0;0;5
Trondheim - Voll;SN68860;05.08.2015;0;1;7
Trondheim - Voll;SN68860;06.08.2015;0;0;4,7
Trondheim - Voll;SN68860;07.08.2015;0;0;5,3
Trondheim - Voll;SN68860;08.08.2015;0;1;7,3
Trondheim - Voll;SN68860;09.08.2015;0;1;7
Trondheim - Voll;SN68860;10.08.2015;0;0;5,3
Trondheim - Voll;SN68860;11.08.2015;0;1;7,7
Trondheim - Voll;SN68860;12.08.2015;0;0;5,7
Trondheim - Voll;SN68860;13.08.2015;0;0;5
Trondheim - Voll;SN68860;14.08.2015;1;0;1,3
Trondheim - Voll;SN68860;15.08.2015;1;0;0,7
Trondheim - Voll;SN68860;16.08.2015;1;0;0,3
Trondheim - Voll;SN68860;17.08.2015;1;0;0,7
Trondheim - Voll;SN68860;18.08.2015;1;0;0
Trondheim - Voll;SN68860;19.08.2015;1;0;0,7
Trondheim - Voll;SN68860;20.08.2015;1;0;0,3
Trondheim - Voll;SN68860;21.08.2015;1;0;0
Trondheim - Voll;SN68860;22.08.2015;1;0;0,7
Trondheim - Voll;SN68860;23.08.2015;1;0;0
Trondheim - Voll;SN68860;24.08.2015;1;0;0
Trondheim - Voll;SN68860;25.08.2015;0;0;4,7
Trondheim - Voll;SN68860;26.08.2015;0;1;7,3
Trondheim - Voll;SN68860;27.08.2015;0;1;7
Trondheim - Voll;SN68860;28.08.2015;0;1;7,3
Trondheim - Voll;SN68860;29.08.2015;0;0;6,3
Trondheim - Voll;SN68860;30.08.2015;0;0;6,3
Trondheim - Voll;SN68860;31.08.2015;0;0;5
Trondheim - Voll;SN68860;01.09.2015;0;0;6,3
Trondheim - Voll;SN68860;02.09.2015;0;1;7
Trondheim - Voll;SN68860;03.09.2015;1;0;3
Trondheim - Voll;SN68860;04.09.2015;0;1;7,3
Trondheim - Voll;SN68860;05.09.2015;0;0;5,7
Trondheim - Voll;SN68860;06.09.2015;0;0;5,7
